rid,formulation_id,a_fr,eta_ref,mu_f,eta_formulation
E1 R01 · 1 d,E1,6.669022511817421,787.6253336027364,6.669022511817426,787.6253336027399
E2 R01,E2,7.583792923690582,1966.0720021039594,8.286200061674773,3968.724596246583
E2 R02,E2,8.31654718742755,4091.010102729415,8.286200061674773,3968.724596246583
E2 R03,E2,8.701262132760615,6010.49347269855,8.286200061674773,3968.724596246583
E2 R02 · 1 d,E2,8.543198002820366,5131.729433131995,8.286200061674773,3968.724596246583
E3 R03,E3,8.278982407727193,3940.1828416571334,8.278982407727199,3940.1828416571543
