experiment_id,candidate_id,measurement,family,acrylic,tackifier,resin_modified,voi,c_decision_relevance,c_extrapolation_risk,c_hypothesis_discrimination,c_measurement_interpretability,c_process_state_risk,c_uncertainty_reduction,discrimination,admissible_cbes,tied_top
S1C34::M-SWEEP,S1C34,M-SWEEP,acrylic_only,12.5,0.0,True,0.162083,0.28,0.104167,0.0,0.7,0.75,0.35,0.0,True,False
S1C64::M-SWEEP,S1C64,M-SWEEP,acrylic_only,27.5,0.0,True,0.162083,0.28,0.104167,0.0,0.7,0.75,0.35,0.0,True,False
S1C73::M-ANCHOR,S1C73,M-ANCHOR,dual_axis_resin_modified,30.0,10.0,True,0.159167,0.3,0.358333,0.0,0.7,1.0,0.5,0.0,False,False
S1C13::M-SWEEP,S1C13,M-SWEEP,minor_tackifier_only,0.0,10.0,True,0.1575,0.28,0.15,0.0,0.7,0.75,0.35,0.0,True,False
S1C73::M-SWEEP,S1C73,M-SWEEP,dual_axis_resin_modified,30.0,10.0,True,0.154167,0.4,0.358333,0.0,0.7,1.0,0.35,0.0,True,False
S1C24::M-ANCHOR,S1C24,M-ANCHOR,acrylic_only,7.5,0.0,True,0.15375,0.21,0.3125,0.0,0.7,0.75,0.5,0.0,False,False
S1C26::M-ANCHOR,S1C26,M-ANCHOR,dual_axis_resin_modified,7.5,5.0,True,0.15375,0.21,0.3125,0.0,0.7,0.75,0.5,0.0,False,False
S1C29::M-SWEEP,S1C29,M-SWEEP,acrylic_only,10.0,0.0,True,0.151667,0.28,0.208333,0.0,0.7,0.75,0.35,0.0,True,False
S1C69::M-SWEEP,S1C69,M-SWEEP,acrylic_only,30.0,0.0,True,0.151667,0.28,0.208333,0.0,0.7,0.75,0.35,0.0,True,False
S1C27::M-ANCHOR,S1C27,M-ANCHOR,dual_axis_resin_modified,7.5,7.5,True,0.149167,0.21,0.358333,0.0,0.7,0.75,0.5,0.0,False,False
S1C25::M-ANCHOR,S1C25,M-ANCHOR,dual_axis_resin_modified,7.5,2.5,True,0.144167,0.21,0.408333,0.0,0.7,0.75,0.5,0.0,False,False
S1C19::M-ANCHOR,S1C19,M-ANCHOR,acrylic_only,5.0,0.0,True,0.143333,0.21,0.416667,0.0,0.7,0.75,0.5,0.0,False,False
S1C21::M-ANCHOR,S1C21,M-ANCHOR,dual_axis_resin_modified,5.0,5.0,True,0.143333,0.21,0.416667,0.0,0.7,0.75,0.5,0.0,False,False
S1C24::M-SWEEP,S1C24,M-SWEEP,acrylic_only,7.5,0.0,True,0.14125,0.28,0.3125,0.0,0.7,0.75,0.35,0.0,True,False
S1C26::M-SWEEP,S1C26,M-SWEEP,dual_axis_resin_modified,7.5,5.0,True,0.14125,0.28,0.3125,0.0,0.7,0.75,0.35,0.0,True,False
S1C22::M-ANCHOR,S1C22,M-ANCHOR,dual_axis_resin_modified,5.0,7.5,True,0.13875,0.21,0.4625,0.0,0.7,0.75,0.5,0.0,False,False
S1C28::M-ANCHOR,S1C28,M-ANCHOR,dual_axis_resin_modified,7.5,10.0,True,0.13875,0.21,0.4625,0.0,0.7,0.75,0.5,0.0,False,False
S1C27::M-SWEEP,S1C27,M-SWEEP,dual_axis_resin_modified,7.5,7.5,True,0.136667,0.28,0.358333,0.0,0.7,0.75,0.35,0.0,True,False
S1C20::M-ANCHOR,S1C20,M-ANCHOR,dual_axis_resin_modified,5.0,2.5,True,0.13375,0.21,0.5125,0.0,0.7,0.75,0.5,0.0,False,False
S1C14::M-ANCHOR,S1C14,M-ANCHOR,acrylic_only,2.5,0.0,True,0.132917,0.21,0.520833,0.0,0.7,0.75,0.5,0.0,False,False
S1C16::M-ANCHOR,S1C16,M-ANCHOR,dual_axis_resin_modified,2.5,5.0,True,0.132917,0.21,0.520833,0.0,0.7,0.75,0.5,0.0,False,False
S1C25::M-SWEEP,S1C25,M-SWEEP,dual_axis_resin_modified,7.5,2.5,True,0.131667,0.28,0.408333,0.0,0.7,0.75,0.35,0.0,True,False
S1C19::M-SWEEP,S1C19,M-SWEEP,acrylic_only,5.0,0.0,True,0.130833,0.28,0.416667,0.0,0.7,0.75,0.35,0.0,True,False
S1C21::M-SWEEP,S1C21,M-SWEEP,dual_axis_resin_modified,5.0,5.0,True,0.130833,0.28,0.416667,0.0,0.7,0.75,0.35,0.0,True,False
S1C17::M-ANCHOR,S1C17,M-ANCHOR,dual_axis_resin_modified,2.5,7.5,True,0.128333,0.21,0.566667,0.0,0.7,0.75,0.5,0.0,False,False
S1C23::M-ANCHOR,S1C23,M-ANCHOR,dual_axis_resin_modified,5.0,10.0,True,0.128333,0.21,0.566667,0.0,0.7,0.75,0.5,0.0,False,False
S1C22::M-SWEEP,S1C22,M-SWEEP,dual_axis_resin_modified,5.0,7.5,True,0.12625,0.28,0.4625,0.0,0.7,0.75,0.35,0.0,True,False
