model,n_parameters,r2,adjusted_r2,aic,bic,rmse_log,mae_log,multiplicative_rmse
M0_formulation_only,4,0.8951635463886691,0.8868869842614588,34.569441422928335,41.52011989606181,0.33199490415233573,0.22741974611962673,1.393745746178415
M0b_formulation_specific_slope,6,0.8952559685455201,0.8807081863990646,38.53239855762391,48.95841626732412,0.331848531160913,0.22698621971463295,1.3935417543740738
M1_plus_observed_day1_flag,5,0.9064169800496596,0.896299896811785,31.80023243427985,40.48858052569669,0.3136705785719592,0.20725766434478185,1.3684388692022913
M2_state_intercept_linear,8,0.995850694423971,0.9949964256289062,-93.06790218290442,-79.16654523663748,0.06604850120180526,0.0527605426929054,1.068278528702027
M2q_state_intercept_shared_quadratic,9,0.9982378097571499,0.9978106121225196,-127.03600908389936,-111.39698251934905,0.043042912794544703,0.03136389458120797,1.0439826941042354
M3_state_specific_slope,14,0.9967226839086538,0.995201072866243,-90.97638117853691,-66.64900652256975,0.05869950273813085,0.048572944762797596,1.060456528573323
