formulation_id,source_id,sample_id,melt_viscosity,viscosity_rise_rate
PAT_US20030022973A1::Sample 1,PAT_US20030022973A1,Sample 1,11500.0,2.6
PAT_US20030022973A1::Sample 2A,PAT_US20030022973A1,Sample 2A,5200.0,10.5
PAT_US20030022973A1::Sample 2B,PAT_US20030022973A1,Sample 2B,9100.0,3.3
PAT_US20030022973A1::Sample 3A,PAT_US20030022973A1,Sample 3A,8400.0,9.8
PAT_US20030022973A1::Sample 3B,PAT_US20030022973A1,Sample 3B,10500.0,0.0
PAT_US20030022973A1::Sample 4A,PAT_US20030022973A1,Sample 4A,15000.0,6.7
PAT_US20030022973A1::Sample 5A,PAT_US20030022973A1,Sample 5A,7900.0,4.4
PAT_US20030022973A1::Sample 6A,PAT_US20030022973A1,Sample 6A,7900.0,7.9
PAT_US20030022973A1::Sample 7A,PAT_US20030022973A1,Sample 7A,4400.0,2.8
