scope,group,n_predictions,rmse_log,multiplicative_rmse,median_absolute_percentage_error,mean_absolute_percentage_error,max_multiplicative_error,bootstrap_multiplicative_rmse_median,bootstrap_ci95_low,bootstrap_ci95_high
overall,all,12,0.08454299222491765,1.088219628209339,0.05684603125436871,0.0632247345675448,1.1892986945628758,1.08690233,1.04276436,1.12604731
target_temperature_c,120,6,0.08345282401336662,1.0870339321849665,0.05684603125436871,0.06177816682709766,1.1892986945628758,,,
target_temperature_c,130,6,0.08561928073091382,1.0893914970085157,0.06180462468623077,0.06467130230799194,1.1364976074685278,,,
held_formulation,E1,2,0.09195914548823549,1.096320031546249,0.09103524504323812,0.09103524504323812,1.124611891851712,,,
held_formulation,E2,8,0.07684964903513994,1.0798797032311118,0.016370627767238743,0.0456332049704663,1.1892986945628758,,,
held_formulation,E3,2,0.10394780680626076,1.1095425428353873,0.10578034248016543,0.10578034248016543,1.1364976074685278,,,
