realization_id,formulation_id,retest_after_1d,n_points,apparent_E_kJ_mol,r2_lneta_vs_invT
E1__+P__day1_0,E1,false,6,40.76615315299795,0.9978620289891083
E1__GJJ__day1_1,E1,true,6,42.712119013900216,0.9962410157820217
E2__CHH__day1_0,E2,false,6,37.63397361918511,0.9650668411884067
E2__GJJ__day1_0,E2,false,6,42.66056318807084,0.9896817908831455
E2__ZYX__day1_0,E2,false,6,41.22698438637584,0.9900878503320944
E2__ZYX__day1_1,E2,true,6,44.55106509264382,0.9947761549778832
E3__CHH__day1_0,E3,false,6,43.52499154680564,0.9959116153578544
