model,n_parameters,r2,fit_rmse_log,fit_multiplicative_rmse,held_temperature_rmse_log,held_temperature_multiplicative_error,aicc
state_shared_linear,7,0.994266816478264,0.07012029010010329,1.0726372011304526,0.11187445214389971,1.1183724425681494,-71.17952749474556
state_shared_quadratic,8,0.9976662109445803,0.04473800169353592,1.0457538382790756,0.05615857492700159,1.0577654055099894,-100.20219546893178
state_shared_cubic,9,0.9977027433096284,0.044386463581599304,1.0453862805582752,0.053369113598243235,1.0548189212789025,-97.1804412689297
state_shared_vft,8,,0.04440778745982007,1.0454085724856899,0.05340323600319248,1.0548549148513726,-100.7356033572044
