held_formulation,held_realization,anchor_temperature_c,anchor_viscosity_reported,target_temperature_c,observed_viscosity_reported,formulation_only_predicted_viscosity,one_anchor_predicted_viscosity,formulation_only_log_error,one_anchor_log_error
E2,E2__R01__day1_0,110.0,2622.0,120.0,1955.0,5024.739735,1961.774827,0.943983,0.003459
E2,E2__R01__day1_0,110.0,2622.0,130.0,1536.0,3948.973917,1541.770924,0.944274,0.003750
E2,E2__R02__day1_0,110.0,5710.0,120.0,4017.0,3920.642380,4267.382383,-0.024280,0.060465
E2,E2__R02__day1_0,110.0,5710.0,130.0,3302.0,3080.724196,3353.182180,-0.069364,0.015381
E2,E2__R02__day1_1,110.0,6671.0,120.0,4863.0,3664.725581,5025.212131,-0.282902,0.032812
E2,E2__R02__day1_1,110.0,6671.0,130.0,3845.0,2907.273793,3986.565217,-0.279558,0.036156
E2,E2__R03__day1_0,110.0,7895.0,120.0,6977.0,3420.723038,5832.075335,-0.712767,-0.179246
E2,E2__R03__day1_0,110.0,7895.0,130.0,5128.0,2646.157151,4511.498793,-0.661607,-0.128086
