Temperature,E2 R01,E2 R02,E2 R02 day-1,E2 R03
80,14569.90909832382,13897.553452867007,14435.88906786425,13775.917015406998
90,8510.662395522695,8539.817190952366,9026.117807042217,7837.413848619123
100,5705.084887897872,5582.701983409409,6094.104375604321,5218.226701265684
110,4037.444689896961,4225.507466233797,3935.505352338475,3976.6312554529586
120,3010.375426677556,2972.6556027777874,2868.889601022635,3514.2439859778688
130,2365.1849899625217,2443.5421459726763,2268.3282985671462,2582.921479159308
